trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1459,06:33:00,06:33:00,106,2,0,0,7.7780
1459,06:39:00,06:39:00,37,3,0,0,10.0244
1459,06:41:00,06:41:00,23,4,0,0,10.5407
1459,06:44:00,06:44:00,112,5,0,0,11.4392
1459,06:47:00,06:47:00,61,6,0,0,12.1477
1459,06:49:00,06:49:00,97,7,0,0,13.0758
1459,06:52:00,06:52:00,140,8,0,0,13.8337
1459,06:55:00,06:55:00,81,9,0,0,15.1205
1459,06:59:00,06:59:00,87,10,0,0,16.7288
1459,07:02:00,07:02:00,136,11,0,0,17.8034
1459,07:07:00,07:07:00,145,12,0,0,20.0697
1459,07:13:00,07:13:00,27,13,0,0,23.4727
1459,07:17:00,07:17:00,77,14,0,0,25.4903
1459,07:21:00,07:21:00,30,15,0,0,27.6553
1459,07:25:00,07:25:00,92,16,0,0,29.7356
1459,07:29:00,07:29:00,91,17,0,0,31.9684
1459,07:36:00,07:36:00,94,18,0,0,35.6650
1459,07:39:00,07:39:00,34,19,0,0,36.2411
1459,07:48:00,07:48:00,35,20,0,0,40.4390
1460,08:00:00,08:00:00,105,1,0,0,0.0000
1460,08:10:00,08:10:00,38187,2,0,0,4.9894
1460,08:19:00,08:19:00,106,3,0,0,10.4133
1460,08:25:00,08:25:00,37,4,0,0,12.6597
1460,08:27:00,08:27:00,23,5,0,0,13.1759
1460,08:30:00,08:30:00,112,6,0,0,14.0744
1460,08:33:00,08:33:00,61,7,0,0,14.7830
1460,08:35:00,08:35:00,97,8,0,0,15.7110
1460,08:38:00,08:38:00,140,9,0,0,16.4689
1460,08:41:00,08:41:00,81,10,0,0,17.7557
1460,08:45:00,08:45:00,87,11,0,0,19.3640
1460,08:48:00,08:48:00,136,12,0,0,20.4386
1460,08:54:00,08:54:00,145,13,0,0,22.7049
1460,09:00:00,09:00:00,27,14,0,0,26.1080
1460,09:04:00,09:04:00,77,15,0,0,28.1256
1460,09:09:00,09:09:00,30,16,0,0,30.2905
1460,09:13:00,09:13:00,92,17,0,0,32.3708
1460,09:18:00,09:18:00,91,18,0,0,34.6036
1460,09:25:00,09:25:00,94,19,0,0,38.3002
1460,09:28:00,09:28:00,34,20,0,0,38.8763
1460,09:36:00,09:36:00,35,21,0,0,43.0742
1461,22:13:00,22:13:00,105,1,0,0,0.0000
1461,22:23:00,22:23:00,38187,2,0,0,4.9894
1461,22:32:00,22:32:00,106,3,0,0,10.4133
1461,22:37:00,22:37:00,37,4,0,0,12.6597
1461,22:40:00,22:40:00,23,5,0,0,13.1759
1461,22:43:00,22:43:00,112,6,0,0,14.0744
1461,22:45:00,22:45:00,61,7,0,0,14.7830
1461,22:47:00,22:47:00,97,8,0,0,15.7110
1461,22:50:00,22:50:00,140,9,0,0,16.4689
1461,22:53:00,22:53:00,81,10,0,0,17.7557
1461,22:57:00,22:57:00,87,11,0,0,19.3640
1461,23:00:00,23:00:00,136,12,0,0,20.4386
1461,23:05:00,23:05:00,145,13,0,0,22.7049
1461,23:11:00,23:11:00,27,14,0,0,26.1080
1461,23:15:00,23:15:00,77,15,0,0,28.1256
1461,23:19:00,23:19:00,30,16,0,0,30.2905
1461,23:23:00,23:23:00,92,17,0,0,32.3708
1461,23:27:00,23:27:00,91,18,0,0,34.6036
1461,23:35:00,23:35:00,94,19,0,0,38.3002
1461,23:37:00,23:37:00,34,20,0,0,38.8763
1461,23:45:00,23:45:00,35,21,0,0,43.0742
1462,18:34:00,18:34:00,63,1,0,0,0.0000
1462,18:50:00,18:50:00,106,2,0,0,7.7780
1462,18:55:00,18:55:00,37,3,0,0,10.0244
1462,18:58:00,18:58:00,23,4,0,0,10.5407
1462,19:01:00,19:01:00,112,5,0,0,11.4392
1462,19:03:00,19:03:00,61,6,0,0,12.1477
1462,19:05:00,19:05:00,97,7,0,0,13.0758
1462,19:08:00,19:08:00,140,8,0,0,13.8337
1462,19:11:00,19:11:00,81,9,0,0,15.1205
1462,19:15:00,19:15:00,87,10,0,0,16.7288
1462,19:18:00,19:18:00,136,11,0,0,17.8034
1462,19:24:00,19:24:00,145,12,0,0,20.0697
1462,19:30:00,19:30:00,27,13,0,0,23.4727
1462,19:34:00,19:34:00,77,14,0,0,25.4903
1462,19:38:00,19:38:00,30,15,0,0,27.6553
1462,19:42:00,19:42:00,92,16,0,0,29.7356
1462,19:46:00,19:46:00,91,17,0,0,31.9684
1462,19:54:00,19:54:00,94,18,0,0,35.6650
1462,19:56:00,19:56:00,34,19,0,0,36.2411
1462,20:04:00,20:04:00,35,20,0,0,40.4390
1462,20:11:00,20:11:00,39472,21,0,0,45.3875
1462,20:18:00,20:18:00,67,22,0,0,47.7938
1463,05:38:00,05:38:00,63,1,0,0,0.0000
1463,05:56:00,05:56:00,106,2,0,0,7.7780
1463,06:01:00,06:01:00,37,3,0,0,10.0244
1463,06:04:00,06:04:00,23,4,0,0,10.5407
1463,06:06:00,06:06:00,112,5,0,0,11.4392
1463,06:08:00,06:08:00,61,6,0,0,12.1477
1463,06:10:00,06:10:00,97,7,0,0,13.0758
1463,06:13:00,06:13:00,140,8,0,0,13.8337
1463,06:16:00,06:16:00,81,9,0,0,15.1205
1463,06:19:00,06:19:00,87,10,0,0,16.7288
1463,06:22:00,06:22:00,136,11,0,0,17.8034
1463,06:28:00,06:28:00,145,12,0,0,20.0697
1463,06:34:00,06:34:00,27,13,0,0,23.4727
1463,06:38:00,06:38:00,77,14,0,0,25.4903
1463,06:42:00,06:42:00,30,15,0,0,27.6553
1463,06:46:00,06:46:00,92,16,0,0,29.7356
1463,06:51:00,06:51:00,91,17,0,0,31.9684
1463,07:00:00,07:00:00,34,18,0,0,36.2413
1463,07:07:00,07:07:00,35,19,0,0,40.4392
1463,07:14:00,07:14:00,39472,20,0,0,45.3877
1463,07:19:00,07:19:00,67,21,0,0,47.7939
1463,07:25:00,07:25:00,101,22,0,0,50.2739
1463,07:30:00,07:30:00,93,23,0,0,52.4366
1463,07:45:00,07:45:00,54,24,0,0,59.8178
1464,09:13:00,09:13:00,63,1,0,0,0.0000
1464,09:31:00,09:31:00,106,2,0,0,7.7780
1464,09:36:00,09:36:00,37,3,0,0,10.0244
1464,09:38:00,09:38:00,23,4,0,0,10.5407
1464,09:41:00,09:41:00,112,5,0,0,11.4392
1464,09:43:00,09:43:00,61,6,0,0,12.1477
1464,09:45:00,09:45:00,97,7,0,0,13.0758
1464,09:48:00,09:48:00,140,8,0,0,13.8337
1464,09:51:00,09:51:00,81,9,0,0,15.1205
1464,09:54:00,09:54:00,87,10,0,0,16.7288
1464,09:58:00,09:58:00,136,11,0,0,17.8034
1464,10:04:00,10:04:00,145,12,0,0,20.0697
1464,10:10:00,10:10:00,27,13,0,0,23.4727
1464,10:14:00,10:14:00,77,14,0,0,25.4903
1464,10:18:00,10:18:00,30,15,0,0,27.6553
1464,10:23:00,10:23:00,92,16,0,0,29.7356
1464,10:29:00,10:29:00,91,17,0,0,31.9684
1464,10:36:00,10:36:00,94,18,0,0,35.6650
1464,10:39:00,10:39:00,34,19,0,0,36.2411
1464,10:46:00,10:46:00,35,20,0,0,40.4390
1464,10:53:00,10:53:00,39472,21,0,0,45.3875
1464,10:58:00,10:58:00,67,22,0,0,47.7938
1464,11:05:00,11:05:00,101,23,0,0,50.2737
1464,11:09:00,11:09:00,93,24,0,0,52.4364
1464,11:28:00,11:28:00,54,25,0,0,59.8176
1465,05:59:00,05:59:00,63,1,0,0,0.0000
1465,06:15:00,06:15:00,106,2,0,0,7.7780
1465,06:21:00,06:21:00,23,3,0,0,10.5409
1465,06:24:00,06:24:00,112,4,0,0,11.4394
1465,06:28:00,06:28:00,140,5,0,0,13.8339
1465,06:36:00,06:36:00,145,6,0,0,20.0701
1466,06:07:00,06:07:00,105,1,0,0,0.0000
1466,06:16:00,06:16:00,38187,2,0,0,4.9894
1466,06:25:00,06:25:00,106,3,0,0,10.4133
1466,06:36:00,06:36:00,140,4,0,0,16.4695
1466,06:39:00,06:39:00,81,5,0,0,17.7563
1466,06:43:00,06:43:00,87,6,0,0,19.3646
1466,06:51:00,06:51:00,145,7,0,0,22.7049
1467,19:18:00,19:18:00,105,1,0,0,0.0000
1467,19:35:00,19:35:00,106,2,0,0,10.4133
1467,19:42:00,19:42:00,23,3,0,0,13.1761
