route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
12,9,2598,"NLR BRANCH BROOK PARK",1,"007NK014",1029
12,9,2599,"NLR BRANCH BROOK PARK",1,"007NK005",1029
12,9,2600,"NLR BRANCH BROOK PARK",1,"007NK004",1029
12,9,2601,"NLR BRANCH BROOK PARK",1,"007NK002",1029
12,9,2602,"NLR BRANCH BROOK PARK",1,"007NK009",1029
12,9,2603,"NLR BRANCH BROOK PARK",1,"007NK018",1029
12,9,2604,"NLR BRANCH BROOK PARK",1,"007NK021",1029
12,9,2605,"NLR BRANCH BROOK PARK",1,"007NK022",1029
12,9,2606,"NLR BRANCH BROOK PARK",1,"007NK001",1029
12,9,2607,"NLR BRANCH BROOK PARK",1,"007NK023",1029
12,9,2608,"NLR BRANCH BROOK PARK",1,"007NK017",1029
12,9,2609,"NLR BRANCH BROOK PARK",1,"007NK005",1029
12,9,2610,"NLR BRANCH BROOK PARK",1,"007NK020",1029
12,9,2611,"NLR BRANCH BROOK PARK",1,"007NK004",1029
12,9,2612,"NLR BRANCH BROOK PARK",1,"007NK002",1029
12,9,2613,"NLR BRANCH BROOK PARK",1,"007NK009",1029
12,9,2614,"NLR BRANCH BROOK PARK",1,"007NK024",1029
12,9,2615,"NLR BRANCH BROOK PARK",1,"007NK018",1029
12,9,2616,"NLR BRANCH BROOK PARK",1,"007NK021",1029
12,9,2617,"NLR BRANCH BROOK PARK",1,"007NK022",1029
12,9,2618,"NLR BRANCH BROOK PARK",1,"007NK001",1029
12,9,2619,"NLR BRANCH BROOK PARK",1,"007NK023",1029
12,9,2620,"NLR BRANCH BROOK PARK",1,"007NK017",1029
12,9,2621,"NLR BRANCH BROOK PARK",1,"007NK005",1029
12,9,2622,"NLR BRANCH BROOK PARK",1,"007NK020",1029
12,9,2623,"NLR BRANCH BROOK PARK",1,"007NK004",1029
12,9,2624,"NLR BRANCH BROOK PARK",1,"007NK002",1029
12,9,2625,"NLR BRANCH BROOK PARK",1,"007NK009",1029
12,9,2626,"NLR BRANCH BROOK PARK",1,"007NK024",1029
12,9,2627,"NLR BRANCH BROOK PARK",1,"007NK021",1029
12,9,2628,"NLR BRANCH BROOK PARK",1,"007NK009",1029
12,9,2629,"NLR BRANCH BROOK PARK",1,"007NK024",1029
12,9,2630,"NLR BRANCH BROOK PARK",1,"007NK021",1029
12,9,2631,"NLR BRANCH BROOK PARK",1,"007NK024",1029
12,9,2632,"NLR PENN STATION",1,"007NK003",1030
12,9,2633,"NLR PENN STATION",1,"007NK003",1030
12,9,2634,"NLR PENN STATION",1,"007NK003",1030
12,9,2635,"NLR PENN STATION",1,"007NK003",1030
12,9,2636,"NLR PENN STATION",1,"007NK013",1030
12,9,2637,"NLR PENN STATION",1,"007NK003",1030
12,9,2638,"NLR PENN STATION",1,"007NK013",1030
12,9,2639,"NLR PENN STATION",1,"007NK003",1030
12,9,2640,"NLR PENN STATION",1,"007NK013",1030
12,9,2641,"NLR PENN STATION",1,"007NK003",1030
12,9,2642,"NLR PENN STATION",1,"007NK013",1030
12,9,2643,"NLR PENN STATION",1,"007NK003",1030
12,9,2644,"NLR PENN STATION",1,"007NK013",1030
12,9,2645,"NLR PENN STATION",1,"007NK003",1030
12,9,2646,"NLR PENN STATION",1,"007NK013",1030
12,9,2647,"NLR PENN STATION",1,"007NK003",1030
12,9,2648,"NLR PENN STATION",1,"007NK003",1030
12,9,2649,"NLR PENN STATION",1,"007NK003",1030
12,9,2650,"NLR PENN STATION",1,"007NK003",1030
12,9,2651,"NLR PENN STATION",1,"007NK003",1030
12,9,2652,"NLR PENN STATION",1,"007NK003",1030
12,9,2653,"NLR PENN STATION",1,"007NK003",1030
12,9,2654,"NLR PENN STATION",1,"007NK003",1030
12,9,2655,"NLR PENN STATION",1,"007NK003",1030
12,9,2656,"NLR PENN STATION",1,"007NK003",1030
12,9,2657,"NLR PENN STATION",1,"007NK003",1030
12,9,2658,"NLR PENN STATION",1,"007NK003",1030
12,9,2659,"NLR PENN STATION",1,"007NK003",1030
12,9,2660,"NLR PENN STATION",1,"007NK019",1030
12,9,2661,"NLR PENN STATION",1,"007NK003",1030
12,9,2662,"NLR PENN STATION",1,"007NK019",1030
12,9,2663,"NLR PENN STATION",1,"007NK003",1030
12,9,2664,"NLR PENN STATION",1,"007NK019",1030
12,9,2665,"NLR PENN STATION",1,"007NK003",1030
12,9,2666,"NLR PENN STATION",1,"007NK019",1030
12,9,2667,"NLR PENN STATION",1,"007NK003",1030
12,9,2668,"NLR PENN STATION",1,"007NK019",1030
12,9,2669,"NLR PENN STATION",1,"007NK003",1030
12,9,2670,"NLR PENN STATION",1,"007NK019",1030
12,9,2671,"NLR PENN STATION",1,"007NK003",1030
12,9,2672,"NLR PENN STATION",1,"007NK019",1030
12,9,2673,"NLR PENN STATION",1,"007NK003",1030
12,9,2674,"NLR PENN STATION",1,"007NK019",1030
12,9,2675,"NLR PENN STATION",1,"007NK003",1030
12,9,2676,"NLR PENN STATION",1,"007NK019",1030
12,9,2677,"NLR PENN STATION",1,"007NK003",1030
12,9,2678,"NLR PENN STATION",1,"007NK003",1030
12,9,2679,"NLR PENN STATION",1,"007NK003",1030
12,9,2680,"NLR PENN STATION",1,"007NK003",1030
12,9,2681,"NLR PENN STATION",1,"007NK003",1030
12,9,2682,"NLR PENN STATION",1,"007NK003",1030
12,9,2683,"NLR PENN STATION",1,"007NK003",1030
12,9,2684,"NLR PENN STATION",1,"007NK003",1030
13,2,2685,"HOBOKEN",0,"2124",1031
13,2,2686,"HOBOKEN",0,"2100",1032
13,2,2687,"HOBOKEN",0,"2102",1033
13,2,2688,"HOBOKEN",0,"2104",1034
13,2,2689,"HOBOKEN",0,"2108",1035
13,2,2690,"HOBOKEN",0,"2112",1036
13,2,2691,"HOBOKEN",0,"2114",1037
13,2,2692,"HOBOKEN",0,"2118",1038
13,2,2693,"HOBOKEN",0,"2122",1039
13,2,2694,"HOBOKEN",0,"2126",1040
13,2,2695,"HOBOKEN",0,"2106",1041
13,2,2696,"HOBOKEN",0,"2110",1042
13,4,2697,"HOBOKEN",0,"1628",1043
13,4,2698,"HOBOKEN",0,"1612",1044
13,4,2699,"HOBOKEN",0,"1622",1045
13,4,2700,"HOBOKEN",0,"1624",1046
13,4,2701,"HOBOKEN",0,"1626",1047
13,4,2702,"HOBOKEN",0,"1610",1048
13,4,2703,"HOBOKEN",0,"1636",1049
13,4,2704,"HOBOKEN",0,"1602",1050
13,4,2705,"HOBOKEN",0,"1604",1051
13,4,2706,"HOBOKEN",0,"1608",1052
13,4,2707,"HOBOKEN",0,"1614",1053
13,4,2708,"HOBOKEN",0,"1616",1054
13,4,2709,"HOBOKEN",0,"1620",1055
13,4,2710,"HOBOKEN",0,"1630",1056
13,4,2711,"HOBOKEN",0,"1632",1057
13,4,2712,"HOBOKEN",0,"1634",1058
13,4,2713,"HOBOKEN",0,"1606",1059
13,4,2714,"HOBOKEN",0,"1618",1060
13,4,2715,"HOBOKEN",0,"1652",1061
13,16,2716,"SPRING VALLEY",1,"2101",1062
13,2,2717,"SPRING VALLEY",1,"2103",1063
13,2,2718,"SPRING VALLEY",1,"2107",1064
13,2,2719,"SPRING VALLEY",1,"2111",1065
13,2,2720,"SPRING VALLEY",1,"2115",1066
13,2,2721,"SPRING VALLEY",1,"2119",1067
13,2,2722,"SPRING VALLEY",1,"2121",1068
13,2,2723,"SPRING VALLEY",1,"2123",1069
13,2,2724,"SPRING VALLEY",1,"2129",1070
13,2,2725,"SPRING VALLEY",1,"2133",1071
13,2,2726,"SPRING VALLEY",1,"2117",1072
